,PK,ON_ID,PR_ID,CU_ID,ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,STATUS,DEALSIZE
37,10228_2,ON38,ON2,CU34,10228,29,222.86999999999998,2,6463.23,Shipped,Medium
38,10245_9,ON39,ON2,CU35,10245,34,180.01,9,6120.34,Shipped,Medium
39,10258_6,ON40,ON2,CU36,10258,32,240.02,6,7680.64,Shipped,Large
40,10270_9,ON41,ON2,CU21,10270,21,233.59,9,4905.39,Shipped,Medium
41,10280_2,ON42,ON2,CU37,10280,34,235.73,2,8014.82,Shipped,Large
42,10291_11,ON43,ON2,CU38,10291,37,192.86999999999998,11,7136.19,Shipped,Large
43,10304_6,ON44,ON2,CU39,10304,47,216.4404255319149,6,10172.7,Shipped,Large
44,10312_3,ON45,ON2,CU40,10312,48,242.1604166666667,3,11623.7,Shipped,Large
45,10322_1,ON46,ON2,CU41,10322,40,150.01,1,6000.4,Shipped,Medium
46,10333_3,ON47,ON2,CU9,10333,26,115.5,3,3003.0,Shipped,Medium
47,10347_1,ON48,ON2,CU11,10347,30,131.48999999999998,1,3944.7,Shipped,Medium
48,10357_10,ON49,ON2,CU40,10357,32,177.87,10,5691.84,Shipped,Medium
49,10369_2,ON50,ON2,CU42,10369,41,110.12,2,4514.92,Shipped,Medium
50,10381_3,ON51,ON2,CU5,10381,36,229.29999999999998,3,8254.8,Shipped,Large
51,10391_4,ON52,ON2,CU43,10391,24,100.69,4,2416.56,Shipped,Small
52,10411_9,ON53,ON2,CU44,10411,23,180.01,9,4140.23,Shipped,Medium
53,10424_6,ON54,ON2,CU24,10424,50,240.02,6,12001.0,In Process,Large
54,10107_5,ON1,ON3,CU1,10107,39,99.91,5,3896.49,Shipped,Medium
55,10120_3,ON55,ON3,CU11,10120,29,96.34,3,2793.86,Shipped,Small
56,10134_5,ON3,ON3,CU3,10134,27,122.51,5,3307.77,Shipped,Medium
57,10145_9,ON4,ON3,CU4,10145,37,140.35,9,5192.95,Shipped,Medium
58,10159_17,ON5,ON3,CU5,10159,37,135.59,17,5016.83,Shipped,Medium
59,10168_4,ON6,ON3,CU6,10168,27,135.59,4,3660.93,Shipped,Medium
60,10180_12,ON7,ON3,CU7,10180,42,111.80000000000001,12,4695.6,Shipped,Medium
61,10188_4,ON8,ON3,CU8,10188,38,96.34,4,3660.92,Shipped,Medium
62,10201_5,ON9,ON3,CU9,10201,24,126.08,5,3025.92,Shipped,Medium
63,10210_2,ON56,ON3,CU45,10210,23,130.83,2,3009.09,Shipped,Medium
64,10223_4,ON11,ON3,CU11,10223,47,115.37,4,5422.39,Shipped,Medium
65,10236_1,ON57,ON3,CU46,10236,22,129.64,1,2852.08,Shipped,Small
66,10251_5,ON13,ON3,CU13,10251,44,130.83,5,5756.52,Shipped,Medium
67,10263_5,ON14,ON3,CU14,10263,40,111.8,5,4472.0,Shipped,Medium
68,10275_4,ON15,ON3,CU15,10275,22,132.02,4,2904.44,Shipped,Small
69,10285_9,ON16,ON3,CU16,10285,47,137.97,9,6484.59,Shipped,Medium
70,10298_1,ON58,ON3,CU47,10298,39,96.34,1,3757.26,Shipped,Medium
71,10308_2,ON59,ON3,CU48,10308,34,118.94,2,4043.96,Shipped,Medium
72,10318_4,ON19,ON3,CU19,10318,45,123.7,4,5566.5,Shipped,Medium
73,10329_2,ON20,ON3,CU1,10329,20,158.8,2,3176.0,Shipped,Medium
74,10339_4,ON60,ON3,CU36,10339,40,68.92,4,2756.8,Shipped,Small
75,10361_8,ON22,ON3,CU21,10361,26,51.150000000000006,8,1329.9,Shipped,Small
76,10374_5,ON61,ON3,CU29,10374,39,135.59,5,5288.01,Shipped,Medium
77,10388_5,ON24,ON3,CU22,10388,50,44.51,5,2225.5,Shipped,Small
78,10402_1,ON62,ON3,CU10,10402,45,129.64000000000001,1,5833.8,Shipped,Medium
79,10417_5,ON26,ON3,CU24,10417,45,130.83,5,5887.35,Disputed,Medium
80,10107_4,ON1,ON4,CU1,10107,27,224.65,4,6065.55,Shipped,Medium
81,10120_2,ON55,ON4,CU11,10120,46,201.41000000000003,2,9264.86,Shipped,Large
82,10134_4,ON3,ON4,CU3,10134,31,226.57999999999998,4,7023.98,Shipped,Large
83,10145_8,ON4,ON4,CU4,10145,33,156.86,8,5176.38,Shipped,Medium
84,10159_16,ON5,ON4,CU5,10159,22,187.85,16,4132.7,Shipped,Medium
85,10168_3,ON6,ON4,CU6,10168,20,209.15,3,4183.0,Shipped,Medium
86,10180_11,ON7,ON4,CU7,10180,41,216.89999999999998,11,8892.9,Shipped,Large
87,10188_3,ON8,ON4,CU8,10188,45,193.66000000000003,3,8714.7,Shipped,Large
88,10201_4,ON9,ON4,CU9,10201,49,164.61,4,8065.89,Shipped,Large
89,10210_1,ON56,ON4,CU45,10210,34,180.1,1,6123.4,Shipped,Medium
90,10223_3,ON11,ON4,CU11,10223,49,199.47000000000003,3,9774.03,Shipped,Large
91,10237_9,ON12,ON4,CU12,10237,39,180.1,9,7023.9,Shipped,Large
92,10251_4,ON13,ON4,CU13,10251,43,164.60999999999999,4,7078.23,Shipped,Large
93,10263_4,ON14,ON4,CU14,10263,41,203.34,4,8336.94,Shipped,Large
94,10275_3,ON15,ON4,CU15,10275,36,191.72,3,6901.92,Shipped,Medium
95,10285_8,ON16,ON4,CU16,10285,27,201.41,8,5438.07,Shipped,Medium
96,10299_11,ON17,ON4,CU17,10299,29,230.46,11,6683.34,Shipped,Medium
97,10308_1,ON59,ON4,CU48,10308,20,228.51999999999998,1,4570.4,Shipped,Medium
98,10318_3,ON19,ON4,CU19,10318,37,207.22,3,7667.14,Shipped,Large
99,10329_3,ON20,ON4,CU1,10329,26,225.7,3,5868.2,Shipped,Medium
100,10339_3,ON60,ON4,CU36,10339,39,76.67,3,2990.13,Shipped,Small
101,10362_4,ON63,ON4,CU6,10362,22,166.54999999999998,4,3664.1,Shipped,Medium
102,10374_1,ON61,ON4,CU29,10374,22,174.29,1,3834.38,Shipped,Medium
103,10388_7,ON24,ON4,CU22,10388,21,86.77000000000001,7,1822.17,Shipped,Small
104,10403_9,ON25,ON4,CU23,10403,66,180.1,9,11886.6,Shipped,Large
105,10417_4,ON26,ON4,CU24,10417,56,164.60999999999999,4,9218.16,Disputed,Large
106,10105_2,ON64,ON5,CU49,10105,50,144.16,2,7208.0,Shipped,Large
107,10119_11,ON65,ON5,CU20,10119,46,108.8,11,5004.8,Shipped,Medium
108,10129_2,ON66,ON5,CU50,10129,33,133.28,2,4398.24,Shipped,Medium
109,10143_15,ON67,ON5,CU51,10143,49,114.24000000000001,15,5597.76,Shipped,Medium
110,10155_13,ON68,ON5,CU17,10155,32,141.44,13,4526.08,Shipped,Medium
111,10167_9,ON69,ON5,CU38,10167,44,134.64,9,5924.16,Cancelled,Medium
112,10178_12,ON70,ON5,CU52,10178,24,145.52,12,3492.48,Shipped,Medium
113,10186_9,ON71,ON5,CU53,10186,26,148.23999999999998,9,3854.24,Shipped,Medium
114,10197_6,ON72,ON5,CU54,10197,45,118.32,6,5324.4,Shipped,Medium
115,10209_8,ON73,ON5,CU55,10209,39,133.28,8,5197.92,Shipped,Medium
116,10222_12,ON74,ON5,CU56,10222,49,122.4,12,5997.6,Shipped,Medium
117,10248_3,ON75,ON5,CU1,10248,20,145.52,3,2910.4,Cancelled,Small
118,10261_1,ON76,ON5,CU44,10261,27,125.11999999999999,1,3378.24,Shipped,Medium
119,10273_4,ON77,ON5,CU57,10273,30,116.96000000000001,4,3508.8,Shipped,Medium
120,10283_6,ON78,ON5,CU58,10283,25,119.68,6,2992.0,Shipped,Small
121,10295_1,ON79,ON5,CU59,10295,24,142.79999999999998,1,3427.2,Shipped,Medium
122,10307_9,ON80,ON5,CU30,10307,22,122.4,9,2692.8,Shipped,Small
123,10316_17,ON81,ON5,CU60,10316,33,125.12,17,4128.96,Shipped,Medium
124,10325_6,ON82,ON5,CU18,10325,47,64.93,6,3051.71,Shipped,Medium
125,10337_8,ON83,ON5,CU28,10337,25,48.05,8,1201.25,Shipped,Small
126,10350_5,ON84,ON5,CU24,10350,26,75.47,5,1962.22,Shipped,Small
127,10359_6,ON85,ON5,CU2,10359,48,54.68,6,2624.64,Shipped,Small
128,10373_3,ON86,ON5,CU61,10373,39,103.75,3,4046.25,Shipped,Medium
129,10384_4,ON87,ON5,CU5,10384,34,142.54999999999998,4,4846.7,Shipped,Medium
130,10395_2,ON88,ON5,CU3,10395,32,105.33,2,3370.56,Shipped,Medium
131,10400_9,ON89,ON5,CU62,10400,64,150.96,9,9661.44,Shipped,Large
132,10414_3,ON90,ON5,CU59,10414,19,145.52,3,2764.88,On Hold,Small
133,10103_4,ON27,ON6,CU18,10103,42,128.53,4,5398.26,Shipped,Medium
134,10114_8,ON91,ON6,CU63,10114,31,138.88,8,4305.28,Shipped,Medium
135,10126_4,ON29,ON6,CU26,10126,22,152.17,4,3347.74,Shipped,Medium
136,10140_4,ON30,ON6,CU6,10140,26,122.61999999999999,4,3188.12,Shipped,Medium
137,10150_1,ON31,ON6,CU27,10150,20,159.56,1,3191.2,Shipped,Medium
138,10164_2,ON92,ON6,CU64,10164,21,168.42000000000002,2,3536.82,Resolved,Medium
139,10175_9,ON93,ON6,CU50,10175,33,162.51,9,5362.83,Shipped,Medium
140,10183_1,ON34,ON6,CU30,10183,28,122.62,1,3433.36,Shipped,Medium
141,10194_4,ON35,ON6,CU31,10194,26,163.98999999999998,4,4263.74,Shipped,Medium
142,10207_15,ON94,ON6,CU65,10207,31,131.49,15,4076.19,Shipped,Medium
143,10217_4,ON95,ON6,CU66,10217,48,146.26,4,7020.48,Shipped,Large
144,10229_9,ON96,ON6,CU40,10229,50,128.53,9,6426.5,Shipped,Medium
145,10245_2,ON39,ON6,CU35,10245,28,163.99,2,4591.72,Shipped,Medium
146,10259_12,ON97,ON6,CU66,10259,26,155.13,12,4033.38,Shipped,Medium
147,10270_2,ON41,ON6,CU21,10270,32,134.44,2,4302.08,Shipped,Medium
148,10281_9,ON98,ON6,CU19,10281,44,159.56,9,7020.64,Shipped,Large
149,10291_4,ON43,ON6,CU38,10291,30,128.53,4,3855.9,Shipped,Medium
150,10305_13,ON99,ON6,CU16,10305,38,175.81,13,6680.78,Shipped,Medium
151,10313_7,ON100,ON6,CU32,10313,40,166.95,7,6678.0,Shipped,Medium
152,10322_8,ON46,ON6,CU41,10322,46,61.99,8,2851.54,Shipped,Small
153,10334_2,ON101,ON6,CU25,10334,26,122.61999999999999,2,3188.12,On Hold,Medium
154,10347_2,ON48,ON6,CU11,10347,27,164.0,2,4428.0,Shipped,Medium
155,10357_9,ON49,ON6,CU40,10357,43,134.44,9,5780.92,Shipped,Medium
156,10370_4,ON102,ON6,CU43,10370,35,65.63000000000001,4,2297.05,Shipped,Small
157,10381_6,ON51,ON6,CU5,10381,37,168.42,6,6231.54,Shipped,Medium
158,10391_7,ON52,ON6,CU43,10391,37,46.9,7,1735.3,Shipped,Small
159,10411_2,ON53,ON6,CU44,10411,27,163.98999999999998,2,4427.73,Shipped,Medium
160,10425_12,ON103,ON6,CU15,10425,38,155.13,12,5894.94,In Process,Medium
161,10108_6,ON104,ON7,CU67,10108,33,159.54999999999998,6,5265.15,Shipped,Medium
162,10122_10,ON105,ON7,CU68,10122,42,180.95,10,7599.9,Shipped,Large
163,10135_7,ON106,ON7,CU40,10135,42,190.68,7,8008.56,Shipped,Large
164,10147_7,ON107,ON7,CU42,10147,48,192.62,7,9245.76,Shipped,Large
165,10159_2,ON5,ON7,CU5,10159,41,202.35000000000002,2,8296.35,Shipped,Large
166,10169_2,ON108,ON7,CU43,10169,30,167.32999999999998,2,5019.9,Shipped,Medium
167,10181_14,ON109,ON7,CU8,10181,27,200.41,14,5411.07,Shipped,Medium
168,10191_3,ON110,ON7,CU69,10191,21,182.9,3,3840.9,Shipped,Medium
169,10203_8,ON111,ON7,CU24,10203,20,196.52,8,3930.4,Shipped,Medium
170,10211_2,ON10,ON7,CU10,10211,41,182.89999999999998,2,7498.9,Shipped,Large
171,10225_9,ON112,ON7,CU70,10225,27,167.32999999999998,9,4517.91,Shipped,Medium
172,10238_3,ON113,ON7,CU49,10238,28,206.24,3,5774.72,Shipped,Medium
173,10253_13,ON114,ON7,CU23,10253,24,163.44,13,3922.56,Cancelled,Medium
174,10266_14,ON115,ON7,CU71,10266,44,208.19000000000003,14,9160.36,Shipped,Large
175,10276_3,ON116,ON7,CU72,10276,50,192.62,3,9631.0,Shipped,Large
176,10287_12,ON117,ON7,CU70,10287,21,163.44,12,3432.24,Shipped,Medium
177,10300_5,ON118,ON7,CU73,10300,33,167.33,5,5521.89,Shipped,Medium
178,10310_10,ON119,ON7,CU69,10310,33,210.14,10,6934.62,Shipped,Medium
179,10320_3,ON120,ON7,CU25,10320,31,221.81,3,6876.11,Shipped,Medium
180,10329_5,ON20,ON7,CU1,10329,41,71.47,5,2930.27,Shipped,Small
181,10341_2,ON21,ON7,CU20,10341,45,79.65,2,3584.25,Shipped,Medium
182,10363_3,ON121,ON7,CU74,10363,33,85.39,3,2817.87,Shipped,Small
183,10375_7,ON23,ON7,CU15,10375,45,76.0,7,3420.0,Shipped,Medium
184,10389_4,ON122,ON7,CU38,10389,26,99.03999999999999,4,2575.04,Shipped,Small
185,10419_13,ON123,ON7,CU20,10419,12,163.44,13,1961.28,Shipped,Small
186,10105_15,ON64,ON8,CU49,10105,41,211.96,15,8690.36,Shipped,Large
187,10117_9,ON124,ON8,CU27,10117,33,182.86,9,6034.38,Shipped,Medium
188,10127_2,ON125,ON8,CU75,10127,46,245.20000000000002,2,11279.2,Shipped,Large
189,10142_12,ON126,ON8,CU40,10142,33,243.13,12,8023.29,Shipped,Large
190,10153_11,ON127,ON8,CU24,10153,20,245.2,11,4904.0,Shipped,Medium
191,10165_3,ON128,ON8,CU27,10165,44,195.33,3,8594.52,Shipped,Large
192,10176_2,ON129,ON8,CU71,10176,33,226.5,2,7474.5,Shipped,Large
193,10185_13,ON130,ON8,CU51,10185,21,184.94,13,3883.74,Shipped,Medium
194,10196_5,ON131,ON8,CU35,10196,47,189.10000000000002,5,8887.7,Shipped,Large
195,10208_13,ON132,ON8,CU31,10208,46,187.02,13,8602.92,Shipped,Large
196,10220_2,ON133,ON8,CU76,10220,32,224.42,2,7181.44,Shipped,Large
197,10231_2,ON134,ON8,CU77,10231,42,199.49,2,8378.58,Shipped,Large
198,10247_2,ON135,ON8,CU74,10247,44,241.05,2,10606.2,Shipped,Large
199,10272_2,ON136,ON8,CU19,10272,35,166.23999999999998,2,5818.4,Shipped,Medium
200,10282_5,ON137,ON8,CU40,10282,41,172.47,5,7071.27,Shipped,Large
201,10293_8,ON138,ON8,CU37,10293,46,182.85999999999999,8,8411.56,Shipped,Large
202,10306_13,ON139,ON8,CU78,10306,31,211.96,13,6570.76,Shipped,Medium
203,10314_5,ON140,ON8,CU79,10314,38,209.88,5,7975.44,Shipped,Large
204,10325_8,ON82,ON8,CU18,10325,42,64.0,8,2688.0,Shipped,Small
205,10336_10,ON141,ON8,CU63,10336,33,57.22,10,1888.26,Shipped,Small
206,10348_8,ON142,ON8,CU26,10348,48,52.36000000000001,8,2513.28,Shipped,Small
207,10359_8,ON85,ON8,CU2,10359,42,113.43999999999998,8,4764.48,Shipped,Medium
208,10371_6,ON143,ON8,CU40,10371,32,111.27,6,3560.64,Shipped,Medium
209,10382_10,ON144,ON8,CU40,10382,34,112.46,10,3823.64,Shipped,Medium
210,10395_1,ON88,ON8,CU3,10395,33,69.12,1,2280.96,Shipped,Small
211,10413_2,ON145,ON8,CU14,10413,36,241.04999999999998,2,8677.8,Shipped,Large
212,10103_8,ON27,ON9,CU18,10103,27,125.74,8,3394.98,Shipped,Medium
213,10113_2,ON146,ON9,CU40,10113,21,162.64000000000001,2,3415.44,Shipped,Medium
214,10126_8,ON29,ON9,CU26,10126,21,116.17,8,2439.57,Shipped,Small
215,10140_8,ON30,ON9,CU6,10140,38,127.10000000000001,8,4829.8,Shipped,Medium
216,10150_5,ON31,ON9,CU27,10150,30,136.67000000000002,5,4100.1,Shipped,Medium
217,10164_6,ON92,ON9,CU64,10164,49,133.94,6,6563.06,Resolved,Medium
218,10174_1,ON33,ON9,CU29,10174,43,158.54,1,6817.22,Shipped,Medium
219,10183_5,ON34,ON9,CU30,10183,41,150.34,5,6163.94,Shipped,Medium
220,10194_8,ON35,ON9,CU31,10194,38,129.84,8,4933.92,Shipped,Medium
221,10206_3,ON36,ON9,CU32,10206,28,144.87,3,4056.36,Shipped,Medium
222,10216_1,ON147,ON9,CU39,10216,43,133.94,1,5759.42,Shipped,Medium
223,10229_13,ON96,ON9,CU40,10229,25,138.04,13,3451.0,Shipped,Medium
224,10245_6,ON39,ON9,CU35,10245,38,155.79999999999998,6,5920.4,Shipped,Medium
225,10258_3,ON40,ON9,CU36,10258,41,162.64,3,6668.24,Shipped,Medium
226,10270_6,ON41,ON9,CU21,10270,28,146.23999999999998,6,4094.72,Shipped,Medium
227,10281_13,ON98,ON9,CU19,10281,25,117.54,13,2938.5,Shipped,Small
228,10291_8,ON43,ON9,CU38,10291,41,155.8,8,6387.8,Shipped,Medium
229,10304_3,ON44,ON9,CU39,10304,39,164.0,3,6396.0,Shipped,Medium
230,10313_11,ON100,ON9,CU32,10313,21,127.1,11,2669.1,Shipped,Small
231,10322_9,ON46,ON9,CU41,10322,27,177.19,9,4784.13,Shipped,Medium
232,10333_6,ON47,ON9,CU9,10333,33,99.21,6,3273.93,Shipped,Medium
233,10347_3,ON48,ON9,CU11,10347,29,123.66999999999999,3,3586.43,Shipped,Medium
234,10357_8,ON49,ON9,CU40,10357,49,121.63999999999999,8,5960.36,Shipped,Medium
235,10370_8,ON102,ON9,CU43,10370,49,172.85999999999999,8,8470.14,Shipped,Large
236,10381_1,ON51,ON9,CU5,10381,20,147.6,1,2952.0,Shipped,Small
237,10391_9,ON52,ON9,CU43,10391,39,63.2,9,2464.8,Shipped,Small
238,10411_6,ON53,ON9,CU44,10411,40,155.8,6,6232.0,Shipped,Medium
239,10424_3,ON54,ON9,CU24,10424,49,162.64,3,7969.36,In Process,Large
240,10107_1,ON1,ON10,CU1,10107,21,144.6,1,3036.6,Shipped,Medium
241,10121_4,ON2,ON10,CU2,10121,50,165.68,4,8284.0,Shipped,Large
242,10134_1,ON3,ON10,CU3,10134,20,135.56,1,2711.2,Shipped,Small
243,10145_5,ON4,ON10,CU4,10145,49,170.2,5,8339.8,Shipped,Large
244,10159_13,ON5,ON10,CU5,10159,38,164.18,13,6238.84,Shipped,Medium
245,10169_13,ON108,ON10,CU43,10169,35,132.55,13,4639.25,Shipped,Medium
246,10180_8,ON7,ON10,CU7,10180,40,168.69,8,6747.6,Shipped,Medium
247,10189_1,ON148,ON10,CU4,10189,28,161.16,1,4512.48,Shipped,Medium
248,10201_1,ON9,ON10,CU9,10201,25,161.16,1,4029.0,Shipped,Medium
249,10211_13,ON10,ON10,CU10,10211,36,132.55,13,4771.8,Shipped,Medium
250,10224_6,ON149,ON10,CU7,10224,43,141.57999999999998,6,6087.94,Shipped,Medium
251,10237_6,ON12,ON10,CU12,10237,32,131.04,6,4193.28,Shipped,Medium
252,10251_1,ON13,ON10,CU13,10251,46,164.18,1,7552.28,Shipped,Large
253,10263_1,ON14,ON10,CU14,10263,48,134.04999999999998,1,6434.4,Shipped,Medium
254,10276_14,ON116,ON10,CU72,10276,43,120.5,14,5181.5,Shipped,Medium
255,10285_5,ON16,ON10,CU16,10285,49,140.08,5,6863.92,Shipped,Medium
256,10299_8,ON17,ON10,CU17,10299,24,173.21,8,4157.04,Shipped,Medium
257,10309_4,ON18,ON10,CU18,10309,26,179.23999999999998,4,4660.24,Shipped,Medium
258,10319_9,ON150,ON10,CU80,10319,30,137.06,9,4111.8,Shipped,Medium
259,10329_6,ON20,ON10,CU1,10329,24,147.60999999999999,6,3542.64,Shipped,Medium
260,10341_8,ON21,ON10,CU20,10341,55,147.61,8,8118.55,Shipped,Large
261,10362_1,ON63,ON10,CU6,10362,22,176.23,1,3877.06,Shipped,Medium
262,10375_13,ON23,ON10,CU15,10375,49,78.92,13,3867.08,Shipped,Medium
263,10388_6,ON24,ON10,CU22,10388,44,135.26,6,5951.44,Shipped,Medium
264,10403_6,ON25,ON10,CU23,10403,66,131.04,6,8648.64,Shipped,Large
265,10417_1,ON26,ON10,CU24,10417,21,164.18,1,3447.78,Disputed,Medium
266,10104_1,ON151,ON11,CU24,10104,34,175.25,1,5958.5,Shipped,Medium
267,10117_10,ON124,ON11,CU27,10117,43,137.48000000000002,10,5911.64,Shipped,Medium
268,10127_3,ON125,ON11,CU75,10127,46,160.14,3,7366.44,Shipped,Large
269,10142_13,ON126,ON11,CU40,10142,33,151.08,13,4985.64,Shipped,Medium
270,10153_12,ON127,ON11,CU24,10153,42,128.42000000000002,12,5393.64,Shipped,Medium
271,10165_4,ON128,ON11,CU27,10165,34,143.53,4,4880.02,Shipped,Medium
272,10176_3,ON129,ON11,CU71,10176,47,178.27,3,8378.69,Shipped,Large
273,10185_14,ON130,ON11,CU51,10185,33,122.37,14,4038.21,Shipped,Medium
274,10196_6,ON131,ON11,CU35,10196,24,158.63,6,3807.12,Shipped,Medium
275,10208_14,ON132,ON11,CU31,10208,26,120.86,14,3142.36,Shipped,Medium
276,10220_3,ON133,ON11,CU76,10220,30,157.12,3,4713.6,Shipped,Medium
277,10230_1,ON152,ON11,CU73,10230,43,163.17000000000002,1,7016.31,Shipped,Large
278,10247_3,ON135,ON11,CU74,10247,25,175.25,3,4381.25,Shipped,Medium
279,10272_3,ON136,ON11,CU19,10272,27,158.63,3,4283.01,Shipped,Medium
280,10282_6,ON137,ON11,CU40,10282,27,161.66,6,4364.82,Shipped,Medium
281,10293_9,ON138,ON11,CU37,10293,24,176.76,9,4242.24,Shipped,Medium
282,10306_14,ON139,ON11,CU78,10306,34,146.54999999999998,14,4982.7,Shipped,Medium
283,10314_6,ON140,ON11,CU79,10314,46,138.99,6,6393.54,Shipped,Medium
284,10324_1,ON153,ON11,CU12,10324,27,54.330000000000005,1,1466.91,Shipped,Small
285,10336_11,ON141,ON11,CU63,10336,33,123.00999999999999,11,4059.33,Shipped,Medium
286,10348_4,ON142,ON11,CU26,10348,47,102.16000000000001,4,4801.52,Shipped,Medium
287,10358_5,ON154,ON11,CU24,10358,49,55.339999999999996,5,2711.66,Shipped,Small
288,10372_4,ON155,ON11,CU36,10372,40,146.55,4,5862.0,Shipped,Medium
289,10382_11,ON144,ON11,CU40,10382,37,110.05,11,4071.85,Shipped,Medium
290,10413_3,ON145,ON11,CU14,10413,47,175.25,3,8236.75,Shipped,Large
291,10108_4,ON104,ON12,CU67,10108,45,136.23000000000002,4,6130.35,Shipped,Medium
292,10122_8,ON105,ON12,CU68,10122,37,99.82000000000001,8,3693.34,Shipped,Medium
293,10135_5,ON106,ON12,CU40,10135,48,125.66000000000001,5,6031.68,Shipped,Medium
294,10147_5,ON107,ON12,CU42,10147,31,112.74,5,3494.94,Shipped,Medium
295,10160_6,ON156,ON12,CU55,10160,46,115.09,6,5294.14,Shipped,Medium
296,10170_4,ON157,ON12,CU64,10170,47,116.27,4,5464.69,Shipped,Medium
297,10181_12,ON109,ON12,CU8,10181,28,102.17,12,2860.76,Shipped,Small
298,10191_1,ON110,ON12,CU69,10191,40,139.75,1,5590.0,Shipped,Medium
299,10203_6,ON111,ON12,CU24,10203,20,112.74000000000001,6,2254.8,Shipped,Small
300,10212_16,ON158,ON12,CU24,10212,39,126.84,16,4946.76,Shipped,Medium
301,10225_7,ON112,ON12,CU70,10225,25,99.82,7,2495.5,Shipped,Small
302,10238_1,ON113,ON12,CU49,10238,29,109.22,1,3167.38,Shipped,Medium
303,10253_11,ON114,ON12,CU23,10253,22,109.22000000000001,11,2402.84,Cancelled,Small
304,10266_12,ON115,ON12,CU71,10266,22,111.57,12,2454.54,Shipped,Small
305,10276_1,ON116,ON12,CU72,10276,47,116.27,1,5464.69,Shipped,Medium
306,10287_10,ON117,ON12,CU70,10287,45,105.7,10,4756.5,Shipped,Medium
307,10300_3,ON118,ON12,CU73,10300,29,137.4,3,3984.6,Shipped,Medium
308,10310_8,ON119,ON12,CU69,10310,24,129.18,8,3100.32,Shipped,Medium
